epoch,train_loss,val_loss,val_pixel,val_struct,val_edge,val_freq,val_psnr,val_ssim,val_psnr_ema,val_ssim_ema,lr,epoch_time_sec
1,0.2881121516641643,0.1414604162797332,0.045442172512412074,0.3852688103914261,0.1758592374622822,0.0611213986761868,23.616665952916048,0.6147311896085739,8.948655177637557,0.0728845945559442,8e-05,131.53
2,0.13064549474252596,0.1205405430868268,0.03899638741277158,0.31977553516626356,0.15512012168765069,0.051075959391891954,24.65333237928061,0.6802244648337364,13.892161249086422,0.1936668947339058,0.00012,131.76
3,0.11879156649940543,0.11199829075485468,0.03703651754185557,0.28805394023656844,0.14667640924453734,0.048367945570498706,25.007709652394094,0.7119460597634315,19.06844374504215,0.3877686202526093,0.00016,131.2
4,0.11260594179232915,0.10812694989144803,0.03623066432774067,0.27215752601623533,0.14360764380544425,0.047022533137351274,25.114221843713228,0.7278424739837647,22.594963181204413,0.5466345027089119,0.0002,131.11
5,0.1089078641600079,0.10504117887467146,0.03544172924011946,0.2622285753488541,0.1397444572299719,0.046325390320271255,25.26645541378189,0.737771424651146,24.202853416729944,0.6434766188263893,0.0002,130.55
6,0.10657985144191318,0.10210585594177246,0.03475913009606302,0.25327712297439575,0.13522458989173175,0.046204748842865226,25.356285537694866,0.7467228770256042,24.790166416992932,0.6890241205692291,0.00019994532573409262,130.9
7,0.10467160379307137,0.10067586591467262,0.03375369100831449,0.2487337037920952,0.13675641752779483,0.04521667207591236,25.522630875315524,0.7512662962079049,25.085915068337197,0.7140150830149651,0.00019978136272187747,129.81
8,0.1029743163432512,0.09902604278177023,0.03349311077035964,0.24438939094543458,0.13316258117556573,0.044840098405256865,25.628593310527968,0.7556106090545655,25.27215273416157,0.7294164732098579,0.00019950829025450114,129.87
9,0.10148567113404473,0.09825012618675828,0.033065591799095274,0.24129572212696077,0.1337985172867775,0.04460940160788596,25.68179607776333,0.7587042778730393,25.4050866020097,0.7399508357048035,0.00019912640693269752,129.7
10,0.1003525886995097,0.09641911145299673,0.0328056865837425,0.23563450574874878,0.13031553365290166,0.044102817261591556,25.78713095672071,0.7643654942512512,25.51542582035282,0.7477120667695999,0.00019863613034027224,130.11
11,0.09908664865005347,0.09566411077976227,0.03221986819989979,0.2342601776123047,0.1306609632447362,0.04346041632816196,25.923568000782005,0.7657398223876953,25.6196946650549,0.7536315456032753,0.00019803799658748094,129.85
12,0.09781801527779964,0.09458642890676856,0.0324328385759145,0.23084357082843782,0.1267169000580907,0.04367346954531968,25.913924056156027,0.7691564291715622,25.7218066469264,0.7587365344166755,0.0001973326597248006,130.03
13,0.09748884545018276,0.09364009769633412,0.031902068806812164,0.22900978922843934,0.12613262850791215,0.04320065146312117,26.005935756325435,0.7709902107715607,25.818092967573573,0.762883760035038,0.00019652089102773488,130.38
14,0.09650590579128927,0.09430485889315605,0.031637813337147234,0.23080262392759324,0.12952096220105885,0.04284915756434202,26.054338975857213,0.7691973760724068,25.90460930514387,0.7665002211928368,0.00019560357815343577,131.18
15,0.09597458839416503,0.09278533086180688,0.03140757251530886,0.2259133756160736,0.12676213607192038,0.042766455467790364,26.088470549064812,0.7740866243839264,25.97663515030539,0.7694311514496803,0.00019458172417006347,130.0
16,0.09571238909330633,0.0929920774884522,0.03196092317812145,0.22546862661838532,0.125321882404387,0.04292964655905962,26.02714885200702,0.7745313733816147,26.03527199594768,0.771612499654293,0.0001934564464599461,130.45
17,0.09496923454312814,0.09267758429050446,0.03169641816057265,0.22677126079797744,0.1240972999483347,0.0429202857427299,26.078489463373707,0.7732287392020225,26.081144623202952,0.773621828854084,0.00019222897549773848,129.93
18,0.09479316404710213,0.09173548072576523,0.03133658510632813,0.22335601300001146,0.12387321274727583,0.04241698142141104,26.153641766205112,0.7766439869999886,26.121304666258727,0.7750937581062317,0.00019090065350491626,130.21
19,0.09428322401104702,0.09191803932189942,0.0313840739428997,0.2234750956296921,0.12439846694469452,0.042660099221393466,26.13536204975052,0.776524904370308,26.15390334355368,0.776554623246193,0.00018947293298207635,130.15
20,0.0937453472469416,0.09106109729036689,0.031432888191193345,0.21985919028520584,0.1226150601170957,0.04252630840055645,26.11038205420134,0.7801408097147942,26.18546943360007,0.7780306756496429,0.0001879473751206489,129.64
21,0.09322139823602306,0.09066368415951728,0.03129146988503635,0.2190180853009224,0.12209027810022235,0.042028852831572296,26.20159732889722,0.7809819146990776,26.213477320418697,0.7794567495584488,0.00018632564809575742,130.17
22,0.09297587844646639,0.0901316530071199,0.03098083669319749,0.21807820498943328,0.12167264567688107,0.042091102432459594,26.220654446251352,0.7819217950105667,26.242137818903302,0.7807127475738526,0.00018460952524209355,130.03
23,0.0927323787059221,0.09053543973714114,0.031258893199265,0.218383264541626,0.12206799499690532,0.04210911984555423,26.193408033584056,0.7816167354583741,26.268648704723905,0.7816876694560051,0.00018280088311480201,129.56
24,0.09250909462571144,0.08978573745116591,0.030885127559304237,0.21682002097368241,0.12140580089762806,0.04192888280376792,26.24298708158321,0.7831799790263176,26.288785089424454,0.7827141091227532,0.00018090169943749476,131.54
25,0.09191618546222648,0.08927782364189625,0.030716569162905216,0.21542355120182038,0.12076431941241025,0.04189713685773313,26.277136773111977,0.7845764487981797,26.31033716583259,0.7837656706571579,0.00017891405093963938,130.22
26,0.09171930988215737,0.08956755409017206,0.030944254295900465,0.21645722538232803,0.12027244586497546,0.04200448840856552,26.247044655817167,0.783542774617672,26.329730258222884,0.7847083404660224,0.00017684011108568592,130.28
27,0.09158234302368429,0.08974317722022533,0.0310291753616184,0.21628524363040924,0.12091776030138135,0.041753240302205084,26.26906558733169,0.7837147563695908,26.349046318015365,0.7854695603251457,0.0001746821476984154,130.15
28,0.09117813419757617,0.08909091288223862,0.030457884119823576,0.21509701013565063,0.12146412059664727,0.04151301761157811,26.335322012401367,0.7849029898643494,26.364080031697842,0.7863595455884933,0.00017244252047910892,130.24
29,0.09092585810770591,0.08888702299445868,0.030563334049656988,0.21411892175674438,0.12062087086960674,0.04163348274305463,26.32666970024253,0.7858810782432556,26.377605747004015,0.787021778523922,0.00017012367842724887,130.32
30,0.09069876163784,0.08861531401053072,0.030366522911936044,0.21298432797193528,0.12115530865266919,0.04140157056972384,26.35861548258844,0.7870156720280648,26.38898237690587,0.7876889273524285,0.00016772815716257412,130.22
31,0.09084464112917583,0.08873658906668425,0.030204682936891915,0.21411394625902175,0.12177309701219201,0.04120385297574103,26.393526456180542,0.7858860537409782,26.402281244082296,0.7881162896752357,0.00016525857615241687,130.24
32,0.09051745085873537,0.08836624072864652,0.03040907485410571,0.21267458349466323,0.1199447363615036,0.041340574715286495,26.357962971992,0.7873254165053367,26.41123326839001,0.7885364204645157,0.0001627176358473537,130.06
33,0.0902914029546082,0.08810384469106794,0.03015752900391817,0.21212392598390578,0.12035222174599766,0.041145611368119714,26.409287577942045,0.7878760740160942,26.420322406345168,0.7890378698706627,0.00016010811472830252,130.04
34,0.09009637646377086,0.0880079934373498,0.030309744691476227,0.2118542656302452,0.11926137143746018,0.04135666778311133,26.37766525515765,0.7881457343697548,26.428890594241714,0.7894816353917122,0.00015743286626829437,129.88
35,0.08996790803761946,0.08783252062276006,0.0301809836179018,0.21148276180028916,0.11935427458956838,0.041165335569530725,26.409538089015616,0.7885172381997109,26.43602601565076,0.7898839026689529,0.0001546948158122427,130.05
36,0.08962950653706987,0.08764866068959236,0.030345031665638088,0.2101301908493042,0.11856727432459593,0.041412876034155485,26.360689221987343,0.7898698091506958,26.44318377536511,0.7902303636074066,0.00015189695737812152,129.99
37,0.08940329353014628,0.08734529735520483,0.03020185367204249,0.20977593809366227,0.1180840365588665,0.04120486360043287,26.407871932775713,0.7902240619063378,26.45057754142267,0.7906658411026001,0.00014904235038305083,130.08
38,0.08932828690028853,0.08744256515055895,0.03005874075461179,0.2099727764725685,0.11916268449276686,0.041107396222651006,26.42446855309081,0.7900272235274315,26.457283832781616,0.791021253168583,0.0001461341162978688,129.89
39,0.08912446979019377,0.08696309644728899,0.030051528289914132,0.20874272882938386,0.1177423088811338,0.041033902345225214,26.436908586758545,0.7912572711706162,26.46380121601893,0.791371588408947,0.00014317543523384928,129.76
